Subtrate	Name_in_Model	Substrate_type	Growth_Biolog	Growth_Model
Guanine	guanine	N	NG	G
Ethylenediamine		N	NG	NG
Ala-His	Ala-His	N	G	NG
Allantoin	allantoin	N	G	G
Parabanic Acid		N	G	NG
L-Alanine	L-alanine	N	G	G
Guanosine	guanosine	N	NG	G
L-Glutamine	L-glutamine	N	G	G
L-Leucine	L-leucine	N	G	G
Thymidine	thymidine	N	NG	NG
Gly-Asn	Gly-Asn	N	G	NG
Ala-Glu	Ala-Glu	N	G	NG
Thymine		N	NG	NG
Cytidine	cytidine	N	NG	G
Uracil	uracil	N	NG	NG
L-Asparagine	L-asparagine	N	G	G
Gly-Met	Gly-Met	N	G	NG
Ala-Asp	Ala-Asp	N	G	NG
γ-Amino-N-Butyric Acid	gamma-aminobutyrate	N	G	G
D-Alanine		N	NG	NG
L-Serine	L-serine	N	G	G
Urea	urea	N	G	G
Gly-Glu	Gly-Glu	N	G	NG
Ala-Thr	Ala-Thr	N	G	NG
δ-Amino-N-Valeric Acid	5-Aminopentanoate	N	G	NG
Putrescine	putrescine	N	NG	NG
Uridine	uridine	N	NG	NG
Met-Ala	Met-Ala	N	G	NG
Glucuronamide		N	NG	NG
D-Serine	D-Serine	N	NG	NG
L-Lysine	L-lysine	N	NG	NG
L-Histidine	L-histidine	N	G	NG
D-Glutamic Acid		N	NG	NG
Agmatine		N	NG	NG
Ammonia	ammonium	N	G	G
Xanthosine	xanthosine	N	NG	NG
Glycine	L-glycine	N	G	G
L-Glutamic Acid	L-glutamate	N	G	G
Ethanolamine	ethanolamine	N	NG	NG
D-Lysine		N	NG	NG
L-Aspartic Acid	L-aspartate	N	G	G
Alloxan		N	NG	NG
N-Acetyl-D-Glucosamine	N-Acetyl-D-glucosamine	N	NG	NG
D-Aspartate		N	G	NG
L-Cysteine	L-cysteine	N	G	NG
L-Proline	L-proline	N	G	G
L-Isoleucine	L-isoleucine	N	G	G
ε-Amino-N-Caproic Acid		N	NG	NG
L-Tryptophan	L-tryptophan	N	G	G
α-Amino-NValeric Acid		N	G	NG
D-Asparagine		N	NG	NG
L-Tyrosine	L-tyrosine	N	G	NG
Histamine		N	NG	NG
D-Mannosamine		N	NG	NG
D-Galactosamine		N	NG	NG
L-Arginine	L-arginine	N	G	G
L-Pyroglutamic Acid	5-oxo-L-proline	N	NG	NG
L-Citrulline	L-citrulline	N	G	NG
Inosine	inosine	N	NG	NG
Formamide		N	NG	NG
Ethylamine		N	NG	NG
Acetamide		N	NG	NG
L-Phenylalanine	L-phenylalanine	N	G	G
Biuret		N	NG	NG
N-Butylamine		N	NG	NG
N-Acetyl-D-Galactosamine		N	NG	NG
N-Acetyl-D ,L-Glutamic Acid	N-acetyl-L-glutamate	N	G	NG
N-Acetyl-D-Mannosamine		N	NG	NG
L-Homoserine	L-homoserine	N	G	G
Adenine	adenine	N	NG	G
N-Amylamine		N	NG	NG
Tyramine		N	NG	NG
N-Phthaloyl-L-Glutamic Acid		N	NG	NG
Methylamine		N	NG	NG
L-Valine	L-valine	N	G	G
Nitrate	nitrate	N	NG	NG
L-Ornithine	ornithine	N	G	G
L-Threonine	L-threonine	N	G	G
β-Phenylethyl-amine		N	NG	NG
Nitrite	Nitrite	N	NG	NG
