s_0532[m],coa[m]
s_0533[n],coa[n]
s_0534[x],coa[x]
s_0538[c],cpppg3[c]
s_0539[c],ctp[c]
s_0541[m],ctp[m]
s_0542[c],cystrna[c]
s_0543[c],cytd[c]
s_0544[e],cytd[e]
s_0545[c],csn[c]
s_0546[e],csn[e]
s_0547[c],Dara14lac[c]
s_0548[c],arab__D[c]
s_0549[e],arab__D[e]
s_0550[c],eig3p[c]
s_0551[c],e4p[c]
s_0552[m],e4p[m]
s_0553[c],fru[c]
s_0554[e],fru[e]
s_0555[c],fdp[c]
s_0556[c],f1p[c]
s_0557[c],f6p[c]
s_0558[c],gal[c]
s_0559[e],gal[e]
s_0560[e],galur[e]
s_0561[c],sbt__D[c]
s_0562[e],sbt__D[e]
s_0563[c],glc__D[c]
s_0565[e],glc__D[e]
s_0566[v],glc__D[v]
s_0567[c],g1p[c]
s_0568[c],g6p[c]
s_0570[c],glyald[c]
s_0571[c],man[c]
s_0572[e],man[e]
s_0573[c],man1p[c]
s_0574[c],man6p[c]
s_0575[c],rib__D[c]
s_0576[e],rib__D[e]
s_0577[c],ru5p__D[c]
s_0578[c],xyl__D[c]
s_0579[e],xyl__D[e]
s_0580[c],xylu__D[c]
s_0581[c],xu5p__D[c]
s_0582[c],dadp[c]
s_0583[n],dadp[n]
s_0584[c],damp[c]
s_0585[m],damp[m]
s_0586[c],datp[c]
s_0587[c],dcdp[c]
s_0588[n],dcdp[n]
s_0589[c],dcmp[c]
s_0590[c],dctp[c]
s_0591[c],dnad[c]
s_0593[n],dnad[n]
s_0595[c],dca[c]
s_0597[e],dca[e]
s_0600[x],dca[x]
s_0605[x],dccoa[x]
s_0606[lp],decdp[lp]
s_0607[c],dehdara14lac[c]
s_0608[c],de6trde8cileb4[c]
s_0609[n],de6trde8cileb4[n]
s_0610[c],dcyt[c]
s_0611[e],dcyt[e]
s_0612[c],dtbt[c]
s_0613[c],dgdp[c]
s_0614[n],dgdp[n]
s_0615[c],dgmp[c]
s_0616[m],dgmp[m]
s_0617[c],dgtp[c]
s_0618[c],didp[c]
s_0620[r],dag_hs[r]
s_0625[c],dhf[c]
s_0626[m],dhf[m]
s_0627[m],dhlam[m]
s_0628[m],dhlpro[m]
s_0629[c],dhap[c]
s_0631[lp],dhap[lp]
s_0632[m],dhap[m]
s_0633[c],ppi[c]
s_0635[lp],ppi[lp]
s_0636[m],ppi[m]
s_0637[n],ppi[n]
s_0638[x],ppi[x]
s_0639[c],ditp[c]
s_0640[lp],docdip[lp]
s_0641[lp],doddip[lp]
s_0642[c],dolichol[c]
s_0644[r],dolmanp[r]
s_0645[c],dolp[c]
s_0646[r],dolp[r]
s_0647[c],dtdp[c]
s_0649[c],dtmp[c]
s_0650[c],dttp[c]
s_0651[e],dttp[e]
s_0652[c],dudp[c]
s_0653[n],dudp[n]
s_0654[c],dump[c]
s_0655[n],dump[n]
s_0656[c],dutp[c]
s_0657[c],epist[c]
s_0659[e],epist[e]
s_0662[c],ergtetrol[c]
s_0663[r],ergtetrol[r]
s_0664[c],ergtrol[c]
s_0665[ce],ergst[ce]
s_0666[c],ergst[c]
s_0667[r],ergst[r]
s_0668[e],ergst[e]
s_0669[lp],ergst[lp]
s_0670[c],ergst3glc[c]
s_0672[c],ergestbac[c]
s_0677[c],e4hglu[c]
s_0678[m],e4hglu[m]
s_0679[x],e4hglu[x]
s_0680[c],etoh[c]
s_0681[e],etoh[e]
s_0682[m],etoh[m]
s_0683[c],etha[c]
s_0684[e],etha[e]
s_0685[c],ethace[c]
s_0686[e],ethace[e]
s_0687[c],fad[c]
s_0688[m],fad[m]
s_0689[c],fadh2[c]
s_0690[m],fadh2[m]
s_0692[lp],frdp[lp]
s_0694[c],fatacibac[c]
s_0699[ce],fecost[ce]
s_0700[c],fecost[c]
s_0702[e],fecost[e]
s_0703[lp],fecost[lp]
s_0709[m],ficytc[m]
s_0710[m],focytc[m]
s_0712[m],pheme[m]
s_0713[m],fmettrna[m]
s_0714[c],fmn[c]
s_0715[e],fmn[e]
s_0716[m],fmn[m]
s_0717[c],fmnh2[c]
s_0719[c],fol[c]
s_0720[e],fol[e]
s_0721[c],fald[c]
s_0722[c],for[c]
s_0723[e],for[e]
s_0724[m],for[m]
s_0725[c],fum[c]
s_0726[e],fum[e]
s_0727[m],fum[m]
s_0734[c],4abut[c]
s_0736[e],4abut[e]
s_0738[m],4abut[m]
s_0739[c],gdp[c]
s_0740[g],gdp[g]
s_0741[m],gdp[m]
s_0742[n],gdp[n]
s_0743[c],gdpmann[c]
s_0744[g],gdpmann[g]
s_0745[c],grdp[c]
s_0746[lp],ggdp[lp]
s_0747[c],glntrna[c]
s_0748[c],glutrna[c]
s_0749[m],glutrna[m]
s_0750[c],gthrd[c]
s_0751[e],gthrd[e]
s_0752[m],gthrd[m]
s_0753[v],gthrd[v]
s_0754[c],gthox[c]
s_0755[e],gthox[e]
s_0756[m],gthox[m]
s_0757[c],glytrna[c]
s_0764[c],g3p[c]
s_0765[c],glyc[c]
s_0766[e],glyc[e]
s_0767[c],glyc3p[c]
s_0769[lp],glyc3p[lp]
s_0770[m],glyc3p[m]
s_0771[c],dha[c]
s_0773[c],glycogen[c]
s_0774[v],glycogen[v]
s_0775[c],gcald[c]
s_0776[e],gcald[e]
s_0777[m],gcald[m]
s_0779[c],glx[c]
s_0780[e],glx[e]
s_0781[x],glx[x]
s_0782[c],gmp[c]
s_0783[g],gmp[g]
s_0785[c],gtp[c]
s_0786[m],gtp[m]
s_0787[c],gua[c]
s_0788[e],gua[e]
s_0789[m],gua[m]
s_0790[c],gsn[c]
s_0791[e],gsn[e]
s_0792[m],gsn[m]
s_0793[ce],h[ce]
s_0794[c],h[c]
s_0795[r],h[r]
s_0796[e],h[e]
s_0797[g],h[g]
s_0798[lp],h[lp]
s_0799[m],h[m]
s_0800[n],h[n]
s_0801[x],h[x]
s_0802[v],h[v]
s_0803[c],h2o[c]
s_0804[r],h2o[r]
s_0805[e],h2o[e]
s_0806[g],h2o[g]
s_0807[m],h2o[m]
s_0808[n],h2o[n]
s_0809[x],h2o[x]
s_0810[v],h2o[v]
s_0811[m],hemeA[m]
s_0812[m],hemeO[m]
s_0813[lp],hendip[lp]
s_0814[lp],hepdip[lp]
s_0815[lp],hepdp[lp]
s_0816[c],hexccoa[c]
s_0817[r],hexccoa[r]
s_0819[x],hexccoa[x]
s_0823[x],hdd2coa[x]
s_0825[r],hxdcal[r]
s_0826[e],hxdcal[e]
s_0829[lp],hexdip[lp]
s_0830[lp],hexdp[lp]
s_0831[m],hexdp[m]
s_0832[c],histrna[c]
s_0833[m],histrna[m]
s_0834[m],hom[m]
s_0835[n],hom[n]
s_0836[m],hicit[m]
s_0837[c],h2o2[c]
s_0838[m],h2o2[m]
s_0839[n],h2o2[n]
s_0840[x],h2o2[x]
s_0841[c],h2s[c]
s_0843[c],hxan[c]
s_0844[e],hxan[e]
s_0845[lp],icodip[lp]
s_0846[c],idp[c]
s_0847[c],iletrna[c]
s_0848[m],iletrna[m]
s_0849[c],imp[c]
s_0850[c],id3acald[c]
s_0851[e],id3acald[e]
s_0852[m],id3acald[m]
s_0853[c],ind3ac[c]
s_0854[m],ind3ac[m]
s_0855[c],indpyr[c]
s_0856[c],ins[c]
s_0857[e],ins[e]
s_0859[g],inophophobac[g]
s_0861[r],inophophoac24[r]
s_0862[g],inophophoac24[g]
s_0863[m],inophophoac24[m]
s_0864[r],inophophoac26[r]
s_0865[g],inophophoac26[g]
s_0866[m],inophophoac26[m]
s_0867[r],inophophobc24[r]
s_0868[g],inophophobc24[g]
s_0869[m],inophophobc24[m]
s_0870[r],inophophobc26[r]
s_0871[g],inophophobc26[g]
s_0872[m],inophophobc26[m]
s_0873[r],inophophosbc24[r]
s_0874[g],inophophosbc24[g]
s_0875[m],inophophosbc24[m]
s_0876[r],inophophosbc26[r]
s_0877[g],inophophosbc26[g]
s_0878[m],inophophosbc26[m]
s_0879[r],inophophocc24[r]
s_0880[g],inophophocc24[g]
s_0881[m],inophophocc24[m]
s_0882[r],inophophocc26[r]
s_0883[g],inophophocc26[g]
s_0884[m],inophophocc26[m]
s_0885[r],inophophodc24[r]
s_0886[g],inophophodc24[g]
s_0887[m],inophophodc24[m]
s_0888[r],inophophodc26[r]
s_0889[g],inophophodc26[g]
s_0890[m],inophophodc26[m]
s_0892[g],inopcerbac[g]
s_0894[r],inopcerac24[r]
s_0895[g],inopcerac24[g]
s_0896[m],inopcerac24[m]
s_0897[r],inopcerac26[r]
s_0898[g],inopcerac26[g]
s_0899[m],inopcerac26[m]
s_0900[r],inopcerbc24[r]
s_0901[g],inopcerbc24[g]
s_0902[m],inopcerbc24[m]
s_0903[r],inopcerbc26[r]
s_0904[g],inopcerbc26[g]
s_0905[m],inopcerbc26[m]
s_0906[r],inopcerabc24[r]
s_0907[g],inopcerabc24[g]
s_0908[m],inopcerabc24[m]
s_0909[r],inopcerabc26[r]
s_0910[g],inopcerabc26[g]
s_0911[m],inopcerabc26[m]
s_0912[r],inopcercc24[r]
s_0913[g],inopcercc24[g]
s_0914[m],inopcercc24[m]
s_0915[r],inopcercc26[r]
s_0916[g],inopcercc26[g]
s_0917[m],inopcercc26[m]
s_0918[r],inopcerdc24[r]
s_0919[g],inopcerdc24[g]
s_0920[m],inopcerdc24[m]
s_0921[r],inopcerdc26[r]
s_0922[g],inopcerdc26[g]
s_0923[m],inopcerdc26[m]
s_0924[c],fe2[c]
s_0925[e],fe2[e]
s_0926[m],fe2[m]
s_0927[c],iamac[c]
s_0928[e],iamac[e]
s_0929[c],iamoh[c]
s_0930[e],iamoh[e]
s_0931[m],iamoh[m]
s_0932[c],ibutoh[c]
s_0933[e],ibutoh[e]
s_0934[m],ibutoh[m]
s_0935[c],ibutac[c]
s_0936[e],ibutac[e]
s_0937[c],2mppal[c]
s_0938[e],2mppal[e]
s_0939[m],2mppal[m]
s_0940[c],icit[c]
s_0941[m],icit[m]
s_0942[x],icit[x]
s_0943[c],ipdp[c]
s_0944[lp],ipdp[lp]
s_0945[m],ipdp[m]
s_0946[m],itacon[m]
s_0949[m],itaccoa[m]
s_0950[c],itp[c]
s_0951[c],phpyr[c]
s_0952[c],2aobut[c]
s_0953[c],L2aadp[c]
s_0954[m],4hglusa[m]
s_0955[c],ala__L[c]
s_0956[e],ala__L[e]
s_0957[m],ala__L[m]
s_0958[c],athr__L[c]
s_0959[c],L2aadp6sa[c]
s_0960[c],2amsa[c]
